GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Type Introspection Implementation Module,iu.type,ArchiveSource,0,222,0,28,0,54,0,23,0,9
IU Type Introspection Implementation Module,iu.type,TypeFactory.new Record() {...},0,9,0,0,0,1,0,1,0,1
IU Type Introspection Implementation Module,iu.type,PropertyFacade,0,204,0,10,0,41,0,19,0,14
IU Type Introspection Implementation Module,iu.type,ParameterizedFacade,0,6,0,0,0,1,0,1,0,1
IU Type Introspection Implementation Module,iu.type,ComponentResource,0,287,0,32,0,65,0,33,0,17
IU Type Introspection Implementation Module,iu.type,MethodFacade,0,117,0,12,0,22,0,14,0,8
IU Type Introspection Implementation Module,iu.type,AnnotationBridge,0,165,0,18,0,42,0,14,0,5
IU Type Introspection Implementation Module,iu.type,ParameterFacade,0,55,0,2,0,14,0,8,0,7
IU Type Introspection Implementation Module,iu.type,TypeFacade,0,174,0,0,0,37,0,30,0,30
IU Type Introspection Implementation Module,iu.type,ParameterizedElement,0,207,0,26,0,51,0,22,0,9
IU Type Introspection Implementation Module,iu.type,ElementBase,0,62,0,6,0,19,0,8,0,5
IU Type Introspection Implementation Module,iu.type,TypeFactory.new Object() {...},0,6,0,0,0,3,0,1,0,1
IU Type Introspection Implementation Module,iu.type,ComponentModuleFinder,0,109,0,12,0,23,0,10,0,4
IU Type Introspection Implementation Module,iu.type,DeclaredElementBase,0,46,0,4,0,13,0,5,0,3
IU Type Introspection Implementation Module,iu.type,TypeTemplate,0,784,0,90,0,157,0,81,0,36
IU Type Introspection Implementation Module,iu.type,ComponentFactory,0,460,0,50,0,103,0,33,0,8
IU Type Introspection Implementation Module,iu.type,ComponentArchive.ScannedAttributes,0,21,0,0,0,1,0,1,0,1
IU Type Introspection Implementation Module,iu.type,LegacyClassLoader,0,56,0,8,0,15,0,6,0,2
IU Type Introspection Implementation Module,iu.type,ComponentModuleFinder.Ref,0,53,0,8,0,17,0,7,0,3
IU Type Introspection Implementation Module,iu.type,TemporaryFile,0,24,0,0,0,8,0,1,0,1
IU Type Introspection Implementation Module,iu.type,ComponentVersion,0,525,2,68,0,110,2,48,0,15
IU Type Introspection Implementation Module,iu.type,ComponentTarget,0,57,0,2,0,13,0,4,0,3
IU Type Introspection Implementation Module,iu.type,ComponentArchive,0,658,0,128,0,148,0,71,0,7
IU Type Introspection Implementation Module,iu.type,ComponentEntry,0,116,0,14,0,30,0,15,0,8
IU Type Introspection Implementation Module,iu.type,ExecutableBase,0,186,0,12,0,44,0,14,0,8
IU Type Introspection Implementation Module,iu.type,TypeUtils,0,207,0,34,0,48,0,23,0,6
IU Type Introspection Implementation Module,iu.type,TypeFactory,0,496,0,60,0,112,0,40,0,10
IU Type Introspection Implementation Module,iu.type,FieldFacade,0,119,0,10,0,21,0,14,0,9
IU Type Introspection Implementation Module,iu.type,BackwardsCompatibility,0,72,0,8,0,21,0,6,0,2
IU Type Introspection Implementation Module,iu.type,Component,0,663,1,71,0,149,1,57,0,22
IU Type Introspection Implementation Module,iu.type,TypeSpi,0,17,0,0,0,5,0,4,0,4
IU Type Introspection Implementation Module,iu.type,PathEntryScanner,0,180,1,25,0,36,1,16,0,4
IU Type Introspection Implementation Module,iu.type,TypeFacade.new Runnable() {...},0,96,0,4,0,18,0,6,0,4
IU Type Introspection Implementation Module,iu.type,TypeReference,0,291,0,32,0,62,0,28,0,12
IU Type Introspection Implementation Module,iu.type,AnnotatedElementBase,0,79,0,10,0,23,0,11,0,6
IU Type Introspection Implementation Module,iu.type,PotentiallyRemoteAnnotationHandler,0,260,0,32,0,43,0,26,0,10
IU Type Introspection Implementation Module,iu.type,ConstructorFacade,0,60,2,6,0,11,2,6,0,4
